s2_token,total
8085800624000000,1
808580062c000000,1
8085800634000000,1
8085800784000000,1
808580078c000000,1
8085800794000000,1
80858007bc000000,1
80858007c4000000,1
80858007cc000000,1
80858007d4000000,1
80858007dc000000,1
80858007e4000000,1
80858007ec000000,1
80858007f4000000,1
80858007fc000000,1
8085800804000000,1
808580080c000000,1
8085800814000000,1
808580081c000000,1
8085800824000000,1
808580082c000000,1
8085800834000000,1
808580083c000000,1
8085800844000000,1
808580084c000000,1
8085800854000000,1
808580085c000000,1
8085800864000000,1
808580086c000000,1
8085800874000000,1
808580087c000000,1
8085800884000000,1
808580088c000000,1
8085800894000000,1
808580089c000000,1
80858008a4000000,1
80858008b4000000,1
80858008bc000000,1
80858008c4000000,1
80858008cc000000,1
80858008d4000000,1
80858008dc000000,1
80858008e4000000,1
80858008ec000000,1
80858008f4000000,1
80858008fc000000,1
8085800904000000,1
808580090c000000,1
8085800914000000,1
808580091c000000,1
8085800924000000,1
808580092c000000,1
8085800934000000,1
808580093c000000,1
8085800944000000,1
808580094c000000,1
8085800954000000,1
808580095c000000,1
8085800964000000,1
808580096c000000,1
8085800974000000,1
808580097c000000,1
8085800984000000,1
808580098c000000,1
8085800994000000,1
808580099c000000,1
80858009a4000000,1
80858009ac000000,1
80858009b4000000,1
80858009bc000000,1
80858009c4000000,1
80858009cc000000,1
80858009d4000000,1
80858009dc000000,1
80858009e4000000,1
80858009ec000000,1
80858009f4000000,1
80858009fc000000,1
8085800a04000000,1
8085800a0c000000,2
8085800a14000000,1
8085800a1c000000,1
8085800a24000000,1
8085800a2c000000,1
8085800a34000000,1
8085800a3c000000,1
8085800a44000000,1
8085800a4c000000,1
8085800a54000000,1
8085800a5c000000,1
8085800a64000000,1
8085800a6c000000,1
8085800a74000000,2
8085800a7c000000,2
8085800a84000000,2
8085800a8c000000,1
8085800a94000000,1
8085800a9c000000,2
8085800aa4000000,2
8085800aac000000,2
8085800ab4000000,2
8085800abc000000,2
8085800ac4000000,1
8085800acc000000,1
8085800ad4000000,1
8085800adc000000,1
8085800ae4000000,1
8085800aec000000,1
8085800af4000000,1
8085800afc000000,1
8085800b04000000,1
8085800b0c000000,1
8085800b14000000,1
8085800b1c000000,1
8085800b24000000,1
8085800b2c000000,1
8085800b34000000,1
8085800b3c000000,1
8085800b44000000,1
8085800b4c000000,1
8085800b54000000,1
8085800b5c000000,1
8085800b64000000,1
8085800b6c000000,1
8085800b74000000,1
8085800b7c000000,1
8085800b84000000,1
8085800b8c000000,1
8085800b94000000,1
8085800b9c000000,1
8085800ba4000000,1
8085800bac000000,1
8085800bb4000000,1
8085800bbc000000,1
8085800bc4000000,1
8085800bcc000000,1
8085800bd4000000,1
8085800bdc000000,1
8085800be4000000,1
8085800bec000000,1
8085800bf4000000,1
8085800bfc000000,1
8085800c04000000,1
8085800c0c000000,1
8085800c14000000,1
8085800c1c000000,1
8085800c24000000,1
8085800c2c000000,1
8085800c34000000,1
8085800c3c000000,1
8085800c44000000,1
8085800c4c000000,1
8085800c54000000,1
8085800c5c000000,1
8085800c64000000,1
8085800c6c000000,1
8085800c74000000,1
8085800c7c000000,1
8085800c84000000,1
8085800c8c000000,1
8085800c94000000,1
8085800c9c000000,1
8085800ca4000000,1
8085800cac000000,1
8085800cb4000000,1
8085800cbc000000,1
8085800cc4000000,1
8085800ccc000000,1
8085800cd4000000,1
8085800cdc000000,1
8085800ce4000000,1
8085800cec000000,1
8085800cf4000000,1
8085800cfc000000,1
8085800d04000000,1
8085800d0c000000,1
8085800d14000000,1
8085800d1c000000,1
8085800d24000000,1
8085800d2c000000,1
8085800d34000000,1
8085800d3c000000,1
8085800d44000000,1
8085800d4c000000,1
8085800d54000000,1
8085800d5c000000,1
8085800d64000000,1
8085800d6c000000,1
8085800d74000000,1
8085800d7c000000,1
8085800d84000000,1
8085800d8c000000,1
8085800d94000000,1
8085800d9c000000,1
8085800da4000000,1
8085800dac000000,1
8085800db4000000,1
8085800dbc000000,1
8085800dc4000000,1
8085800dcc000000,1
8085800dd4000000,1
8085800ddc000000,1
8085800de4000000,1
8085800dec000000,1
8085800df4000000,1
8085800dfc000000,1
8085800e0c000000,1
8085800e5c000000,1
8085800e64000000,1
8085800e6c000000,1
8085800e74000000,1
8085800e7c000000,1
8085800e84000000,1
8085800e8c000000,1
8085800e94000000,1
8085800e9c000000,1
8085800ea4000000,1
8085800eac000000,1
8085800eb4000000,1
8085800ebc000000,1
8085800ec4000000,1
8085800ecc000000,1
8085800ed4000000,1
8085800edc000000,1
8085800ee4000000,1
8085800eec000000,1
8085800ef4000000,1
8085800f24000000,1
8085800f2c000000,1
8085800f34000000,1
808580120c000000,1
808580125c000000,1
8085801264000000,1
808580126c000000,1
8085801274000000,1
808580127c000000,1
8085801284000000,1
808580128c000000,1
8085801294000000,1
808580129c000000,1
