x,y,bx,by,dxx,dxy,dyy,count
1.50,1.50,0.2314,0.1549,1.6945,3.3038,9.0206,836
4.50,1.50,0.1701,0.2094,1.3596,2.6020,7.1638,906
7.50,1.50,0.2526,0.0289,3.7041,-0.1867,0.2581,466
10.50,1.50,0.1046,0.3569,5.3135,-0.3499,0.2995,649
13.50,1.50,0.0326,0.0966,7.0794,-0.3423,0.2666,71
16.50,1.50,-0.3648,-0.3628,3.1526,0.2021,0.3786,189
19.50,1.50,-0.1822,-0.3418,3.2479,0.1592,0.4552,142
22.50,1.50,0.1342,-0.2058,2.1597,0.0389,0.4953,50
25.50,1.50,0.1667,0.7284,1.4560,0.0642,0.7761,93
28.50,1.50,0.3835,0.2875,1.7982,0.2695,0.7925,60
31.50,1.50,0.2468,0.0260,1.1696,0.1767,0.4493,34
34.50,1.50,0.3509,-0.2353,1.0687,0.1948,0.3577,545
37.50,1.50,0.4786,-0.1428,1.6211,0.2013,0.4293,508
40.50,1.50,0.3763,-0.0631,1.5928,0.2691,0.4052,442
43.50,1.50,0.2574,-0.0350,1.5837,0.0817,0.4211,1594
46.50,1.50,0.2759,0.0121,3.1184,0.5086,0.5884,963
49.50,1.50,0.2957,0.1341,4.0108,0.5325,0.7504,759
52.50,1.50,0.1938,0.4172,4.3345,0.6950,1.1142,304
55.50,1.50,-0.3027,0.5046,1.3599,-0.0632,0.8813,600
58.50,1.50,-0.4537,0.3688,1.2825,-0.0365,0.8209,385
61.50,1.50,-0.3550,0.1446,1.3014,0.0657,0.4466,568
64.50,1.50,-0.1164,0.0222,1.7403,0.0118,0.4145,751
67.50,1.50,-0.0392,0.0094,1.7655,-0.1082,0.4196,290
70.50,1.50,0.0913,-0.1719,1.9111,-0.1310,0.4448,873
73.50,1.50,0.0915,-0.0987,1.6178,-0.0636,0.4828,388
76.50,1.50,0.2668,-0.2908,1.6508,0.1308,0.5665,80
79.50,1.50,0.0813,-0.0794,1.7366,-0.0769,0.3687,82
82.50,1.50,-0.0120,-0.0916,0.8177,-0.0539,0.1666,489
85.50,1.50,-0.0377,0.0473,0.6141,-0.0317,0.2022,66
88.50,1.50,-0.0244,0.1181,0.3910,0.0584,0.2155,520
91.50,1.50,0.0223,0.4030,0.7163,0.0822,0.4220,13
94.50,1.50,-0.0902,0.0590,1.4334,0.0473,0.6179,4
97.50,1.50,-0.1627,-0.0554,1.9441,-0.0524,0.5619,519
100.50,1.50,-0.1766,-0.0842,1.9282,-0.0513,0.5534,276
103.50,1.50,-0.5024,-0.5365,5.3648,-0.6205,0.1754,0
1.50,4.50,0.2274,0.0680,1.6753,3.2325,8.8955,21
4.50,4.50,0.1634,0.2023,1.3423,2.5414,7.0606,11
7.50,4.50,0.2208,0.0267,3.6039,-0.1992,0.3264,26
10.50,4.50,0.0386,0.5502,4.8890,-0.3690,0.4573,45
13.50,4.50,-0.0534,0.1614,6.0922,-0.4150,0.5278,76
16.50,4.50,-0.3939,-0.4428,2.5670,-0.0096,0.6732,142
19.50,4.50,-0.1871,-0.5504,2.7246,-0.0141,0.7210,118
22.50,4.50,-0.0899,-0.0722,1.8566,-0.1130,0.7893,100
25.50,4.50,-0.2503,0.8149,1.1990,-0.1694,0.9761,108
28.50,4.50,-0.2256,0.4680,1.4241,0.0519,0.8894,87
31.50,4.50,-0.1257,0.0190,1.1030,0.1350,0.5403,105
34.50,4.50,0.0528,-0.2335,1.0859,0.1462,0.4950,177
37.50,4.50,-0.0225,-0.1479,1.5631,0.1464,0.6425,177
40.50,4.50,0.0540,-0.0733,1.6629,0.2132,0.5935,182
43.50,4.50,-0.0581,-0.0389,1.7211,0.0687,0.5805,172
46.50,4.50,0.0385,0.0269,3.1089,0.4440,0.6430,167
49.50,4.50,-0.0258,0.1546,3.8489,0.4592,0.7836,123
52.50,4.50,0.0284,0.4729,4.0654,0.6067,1.1086,405
55.50,4.50,0.0231,0.4673,1.5591,-0.0223,0.9048,193
58.50,4.50,0.0909,0.3204,1.4864,-0.0205,0.8417,169
61.50,4.50,0.1719,0.0719,1.5072,0.0614,0.5156,160
64.50,4.50,0.1875,-0.0723,1.9105,0.0379,0.4967,203
67.50,4.50,0.1901,-0.1170,1.9274,-0.0453,0.4651,168
70.50,4.50,0.3809,-0.2386,2.0173,-0.0546,0.4808,200
73.50,4.50,0.4412,-0.0388,1.7340,0.0468,0.5572,174
76.50,4.50,0.7368,-0.0273,1.7233,0.2778,0.7292,178
79.50,4.50,0.4226,0.0903,1.7604,0.1079,0.6207,108
82.50,4.50,0.1932,0.0374,0.9495,-0.0085,0.3060,112
85.50,4.50,0.1050,0.1319,0.7120,-0.0187,0.2840,1088
88.50,4.50,0.1067,0.1985,0.4872,0.0484,0.3168,91
91.50,4.50,0.2159,0.4053,0.8213,0.1188,0.7011,68
94.50,4.50,-0.0685,0.0206,1.4351,0.0573,0.6943,33
97.50,4.50,-0.1525,-0.0768,1.9283,-0.0309,0.6048,1388
100.50,4.50,-0.1991,-0.1424,1.9147,-0.0465,0.5518,32
103.50,4.50,-0.5599,-0.6230,5.2590,-0.6009,0.1720,0
1.50,7.50,0.7650,-3.1249,1.0442,-0.0466,2.6940,3
4.50,7.50,3.3758,1.9758,147.2255,83.1649,52.0535,28
7.50,7.50,1.3902,2.1873,97.9195,55.3735,34.6966,14
10.50,7.50,0.6542,2.7371,73.8399,42.0002,26.4706,42
13.50,7.50,-0.8367,0.2742,0.7892,-0.4991,1.4607,99
16.50,7.50,-0.4501,-0.9978,0.8830,-0.4916,1.3875,100
19.50,7.50,-0.3109,-1.3321,1.0681,-0.4557,1.2886,112
22.50,7.50,-0.3961,-0.0068,1.0881,-0.4266,1.2228,44
25.50,7.50,-0.1838,0.7585,1.0067,-0.3808,1.1885,95
28.50,7.50,0.0008,0.4864,1.0670,-0.1570,1.0098,157
31.50,7.50,-0.1024,0.0383,1.2785,0.0270,0.8845,113
34.50,7.50,-0.3409,-0.0281,1.5261,0.0271,1.0519,140
37.50,7.50,-0.7178,0.0969,1.6302,-0.0400,1.3497,234
40.50,7.50,-1.0594,-0.0358,1.9817,-0.0651,1.4729,217
43.50,7.50,-1.4290,-0.1041,2.4697,-0.0951,1.4787,142
46.50,7.50,-1.5139,-0.4375,2.8941,-0.1106,1.0476,109
49.50,7.50,-0.9039,-0.1500,2.5852,-0.0658,0.8799,129
52.50,7.50,-0.1607,0.1666,2.4127,0.0179,0.9220,137
55.50,7.50,0.5072,0.3414,2.2633,0.0514,0.8765,156
58.50,7.50,1.0146,0.2475,2.4668,0.0507,0.9641,196
61.50,7.50,1.1898,0.0329,2.4663,0.0665,0.8211,253
64.50,7.50,1.3360,-0.2619,2.5671,0.0692,0.8963,149
67.50,7.50,1.3844,-0.5305,2.6064,0.1155,0.7550,173
70.50,7.50,1.5589,-0.6061,2.5630,0.2076,0.7776,210
73.50,7.50,1.6406,0.0426,2.2819,0.4207,0.8240,160
76.50,7.50,1.7968,0.4359,2.1559,0.6249,1.0799,179
79.50,7.50,1.4493,0.5036,1.8931,0.6326,1.1107,124
82.50,7.50,0.5045,0.2107,0.9683,0.2488,0.5891,118
85.50,7.50,0.2167,0.2147,0.7932,0.1464,0.5106,123
88.50,7.50,0.2171,0.3505,0.6743,0.0717,0.5311,50
91.50,7.50,0.7604,0.8335,1.3735,0.2885,1.6114,50
94.50,7.50,0.1463,0.0043,1.4340,0.4596,0.5497,42
97.50,7.50,0.0383,-0.1398,1.4178,0.4976,0.4468,30
100.50,7.50,-0.0627,-0.2804,1.4337,0.4938,0.2671,9
103.50,7.50,-0.3222,-3.2442,0.4684,0.0983,0.1381,0
1.50,10.50,0.0969,0.3422,1.6299,4.3653,15.6243,32
4.50,10.50,1.0328,1.7947,56.5727,35.3970,30.4844,39
7.50,10.50,0.5518,2.3043,75.3848,42.9845,27.1577,136
10.50,10.50,0.1903,2.1001,63.0645,35.9326,23.1899,126
13.50,10.50,-0.9035,-0.3610,0.8801,-0.7004,2.1438,57
16.50,10.50,-0.7296,-1.4567,1.0596,-0.8531,2.3947,45
19.50,10.50,-0.6502,-1.5993,1.1582,-0.7221,1.9239,42
22.50,10.50,-0.8530,0.2371,1.1181,-0.6644,1.6788,40
25.50,10.50,-0.5686,0.2714,0.9231,-0.5441,1.4555,111
28.50,10.50,-0.3917,0.6911,1.0475,-0.4465,1.3259,78
31.50,10.50,-0.5457,0.2470,1.2081,-0.2599,1.2249,46
34.50,10.50,-0.7281,0.3419,1.4500,-0.2214,1.4518,284
37.50,10.50,-0.9745,0.3096,1.4814,-0.1602,1.6887,193
40.50,10.50,-1.0140,0.0334,1.8554,-0.1114,1.7259,173
43.50,10.50,-1.2457,-0.1334,2.3089,-0.0459,1.6404,188
46.50,10.50,-1.0631,-0.5921,2.7367,0.0321,1.1666,122
49.50,10.50,-0.7873,-0.7415,2.9220,0.1068,1.1287,139
52.50,10.50,0.0567,-0.4772,2.7086,0.0978,1.1897,82
55.50,10.50,0.8633,-0.2705,2.6114,0.0221,1.1162,179
58.50,10.50,0.9997,0.0537,2.4374,0.0061,1.1053,181
61.50,10.50,0.9910,0.1104,2.6847,0.0840,0.9862,141
64.50,10.50,0.8126,-0.1770,2.8585,0.2114,1.0920,168
67.50,10.50,1.0753,-0.7285,3.1820,0.3274,0.9561,120
70.50,10.50,1.2361,-1.0997,3.2014,0.3908,0.9381,69
73.50,10.50,1.4404,-0.3273,2.9793,0.5161,0.9025,131
76.50,10.50,1.7688,0.3518,2.8550,0.6667,1.2007,148
79.50,10.50,0.8917,0.3715,1.4409,0.5989,1.0443,143
82.50,10.50,0.8834,0.3449,1.3071,0.5599,1.0653,137
85.50,10.50,0.6845,0.3686,1.1279,0.4832,1.0281,59
88.50,10.50,1.7269,1.2193,2.1520,0.3073,1.5863,83
91.50,10.50,1.5617,1.0956,1.9040,0.4329,2.1557,60
94.50,10.50,1.3177,0.2341,1.7054,0.5428,2.1516,98
97.50,10.50,1.2148,-0.0592,1.4625,0.6424,2.0941,41
100.50,10.50,0.9583,-1.0284,1.4547,0.5790,1.3479,4
103.50,10.50,0.2764,-0.2499,0.9602,-0.1434,0.2537,0
1.50,13.50,-0.4070,0.7024,1.4451,3.7873,13.6157,450
4.50,13.50,0.2887,1.8403,47.7622,29.9127,26.1249,39
7.50,13.50,-0.1737,2.4355,63.6106,36.6774,23.4325,81
10.50,13.50,-0.0458,1.5991,60.2104,34.2642,22.5429,103
13.50,13.50,-0.8833,-0.9161,0.8851,-0.6733,2.3755,71
16.50,13.50,-0.9135,-1.7212,1.2333,-1.0759,2.7979,51
19.50,13.50,-0.8074,-1.2813,1.1503,-0.7098,1.8480,35
22.50,13.50,-0.5793,0.1040,0.7638,-0.3946,1.2422,135
25.50,13.50,-0.4831,-0.0580,0.6777,-0.2952,1.2448,85
28.50,13.50,-0.4756,0.5999,0.8086,-0.4587,1.3584,50
31.50,13.50,-0.8341,0.5699,1.5015,-0.7719,1.9898,71
34.50,13.50,-0.8039,0.6653,1.6806,-0.5897,1.9688,132
37.50,13.50,-0.5105,0.4895,1.5833,-0.3232,2.0942,202
40.50,13.50,-0.4649,0.1842,1.7908,-0.1544,1.8306,162
43.50,13.50,-0.4858,-0.1654,2.1905,-0.0694,1.5591,172
46.50,13.50,-0.3589,-0.4468,1.9110,-0.0033,1.5035,156
49.50,13.50,-0.2187,-0.6001,2.1078,0.0402,1.6185,110
52.50,13.50,0.0081,-0.5875,1.9471,0.0041,1.6834,128
55.50,13.50,0.0394,-0.5558,2.9349,-0.0171,1.3021,104
